age,amt,city_NewYork,days_since_last_transaction,is_fraud,merchant_transactions_count,month_cos,month_sin,weekday_cos,weekday_sin
30,354.15,0,0.0,0,0,1.0,0.0,-0.223,-0.975
30,16.02,0,115.461,0,0,0.866,-0.5,-0.901,0.434
30,478.15,0,2.84,0,0,1.0,0.0,0.623,0.782
30,275.31,0,69.612,0,0,-0.866,-0.5,-0.901,0.434
30,177.68,0,134.899,0,0,-0.866,0.5,-0.901,0.434
30,86.68,0,11.11,0,0,-0.866,-0.5,1.0,0.0
20,213.87,0,87.783,0,0,0.866,-0.5,-0.901,-0.434
20,129.22,0,0.0,0,0,-0.5,0.866,0.623,-0.782
20,14.9,0,3.533,0,0,-0.5,0.866,-0.223,0.975
20,12.65,0,94.625,0,0,-0.866,-0.5,-0.901,-0.434
20,272.56,0,5.446,0,0,-0.5,0.866,0.623,0.782
20,82.35,0,30.703,0,0,-0.5,-0.866,1.0,0.0
28,185.14,0,50.714,0,0,-1.0,0.0,0.623,-0.782
28,81.69,0,5.956,0,0,-0.5,0.866,0.623,0.782
28,268.24,0,4.196,0,0,-0.5,0.866,-0.223,0.975
28,184.03,0,24.924,0,0,-0.5,0.866,-0.901,-0.434
28,495.99,0,3.812,0,0,0.866,-0.5,0.623,-0.782
28,336.22,0,34.746,0,0,0.5,-0.866,-0.223,0.975
28,26.58,0,15.153,0,0,-0.866,-0.5,1.0,0.0
28,393.9,0,22.514,0,0,0.866,-0.5,1.0,0.0
28,435.5,0,0.0,0,0,1.0,0.0,-0.901,-0.434
28,5.3,0,17.683,0,0,-0.866,0.5,-0.901,-0.434
28,374.57,0,50.816,0,0,-0.0,-1.0,-0.223,0.975
28,322.73,0,21.315,0,0,0.5,-0.866,-0.223,0.975
28,128.29,0,87.444,0,0,0.0,1.0,1.0,0.0
68,9.05,0,27.624,0,0,0.866,0.5,-0.901,0.434
68,198.23,0,20.87,0,0,-0.5,0.866,-0.223,-0.975
68,63.94,0,0.0,0,0,1.0,0.0,0.623,-0.782
68,360.73,0,118.106,0,0,0.866,-0.5,0.623,-0.782
68,265.84,0,39.112,0,0,-0.866,0.5,-0.223,0.975
68,259.06,0,5.637,0,0,0.0,1.0,-0.223,-0.975
68,322.99,0,51.711,0,0,0.5,0.866,0.623,-0.782
68,31.74,0,22.467,0,0,0.0,1.0,1.0,0.0
68,127.35,0,4.638,0,0,1.0,0.0,-0.901,-0.434
68,85.09,0,6.1,0,1,0.0,1.0,0.623,-0.782
68,421.25,0,39.6,0,0,-0.866,-0.5,1.0,0.0
64,414.26,0,25.164,0,0,-0.5,0.866,0.623,0.782
64,82.19,0,7.524,0,0,0.0,1.0,0.623,-0.782
64,140.79,0,0.0,0,0,1.0,0.0,0.623,0.782
64,432.03,0,42.769,0,0,-1.0,0.0,-0.223,0.975
64,221.88,0,44.362,0,0,0.866,0.5,-0.901,0.434
64,417.24,0,82.776,0,0,-0.5,-0.866,1.0,0.0
64,221.9,0,8.127,0,0,0.866,0.5,-0.901,-0.434
64,242.61,0,18.555,0,0,0.0,1.0,-0.901,-0.434
64,256.68,0,36.49,0,0,0.0,1.0,0.623,-0.782
59,308.92,0,25.859,0,0,0.5,0.866,-0.223,0.975
59,278.25,0,3.319,0,0,-0.5,-0.866,1.0,0.0
59,102.56,0,17.835,0,0,-0.0,-1.0,1.0,0.0
59,420.09,0,34.086,0,0,-0.866,0.5,1.0,0.0
59,112.32,0,13.053,0,0,-0.5,-0.866,-0.901,0.434
59,406.17,0,2.072,0,0,0.5,-0.866,-0.223,0.975
59,170.31,0,0.0,0,0,1.0,0.0,-0.223,0.975
